#,Episode Title,Season,Episode Number,URL
1.01,Pilot,1,1,https://clinic_duty.livejournal.com/385.html
1.02,Paternity,1,2,https://clinic_duty.livejournal.com/620.html
1.03,Occam's Razor,1,3,https://clinic_duty.livejournal.com/1018.html
1.04,Maternity,1,4,https://clinic_duty.livejournal.com/1082.html
1.05,Damned If You Do,1,5,https://clinic_duty.livejournal.com/1302.html
1.06,The Socratic Method,1,6,https://clinic_duty.livejournal.com/1549.html
1.07,Fidelity,1,7,https://clinic_duty.livejournal.com/1970.html
1.08,Poison,1,8,https://clinic_duty.livejournal.com/2292.html
1.09,DNR,1,9,https://clinic_duty.livejournal.com/2476.html
1.10,Histories,1,10,https://clinic_duty.livejournal.com/2704.html
1.11,Detox,1,11,https://clinic_duty.livejournal.com/3037.html
1.12,Sports Medicine,1,12,https://clinic_duty.livejournal.com/3275.html
1.13,Cursed,1,13,https://clinic_duty.livejournal.com/3557.html
1.14,Control,1,14,https://clinic_duty.livejournal.com/3637.html
1.15,Mob Rules,1,15,https://clinic_duty.livejournal.com/3931.html
1.16,Heavy,1,16,https://clinic_duty.livejournal.com/4285.html
1.17,Role Model,1,17,https://clinic_duty.livejournal.com/4358.html
1.18,Babies & Bathwater,1,18,https://clinic_duty.livejournal.com/4667.html
1.19,Kids,1,19,https://clinic_duty.livejournal.com/4910.html
1.20,Love Hurts,1,20,https://clinic_duty.livejournal.com/5241.html
1.21,Three Stories,1,21,https://clinic_duty.livejournal.com/5523.html
1.22,The Honeymoon,1,22,https://clinic_duty.livejournal.com/5691.html
2.01,Acceptance,2,1,https://clinic_duty.livejournal.com/6075.html
2.02,Autopsy,2,2,https://clinic_duty.livejournal.com/6272.html
2.03,Humpty Dumpty,2,3,https://clinic_duty.livejournal.com/6593.html
2.04,TB or Not TB,2,4,https://clinic_duty.livejournal.com/6814.html
2.05,Daddy's Boy,2,5,https://clinic_duty.livejournal.com/7081.html
2.06,Spin,2,6,https://clinic_duty.livejournal.com/7321.html
2.07,Hunting,2,7,https://clinic_duty.livejournal.com/7505.html
2.08,The Mistake,2,8,https://clinic_duty.livejournal.com/7736.html
2.09,Deception,2,9,https://clinic_duty.livejournal.com/8014.html
2.10,Failure to Communicate,2,10,https://clinic_duty.livejournal.com/8231.html
2.11,Need to Know,2,11,https://clinic_duty.livejournal.com/8508.html
2.12,Distractions,2,12,https://clinic_duty.livejournal.com/8943.html
2.13,Skin Deep,2,13,https://clinic_duty.livejournal.com/8997.html
2.14,Sex Kills,2,14,https://clinic_duty.livejournal.com/9291.html
2.15,Clueless,2,15,https://clinic_duty.livejournal.com/9496.html
2.16,Safe,2,16,https://clinic_duty.livejournal.com/9886.html
2.17,All In,2,17,https://clinic_duty.livejournal.com/10176.html
2.18,Sleeping Dogs Lie,2,18,https://clinic_duty.livejournal.com/10464.html
2.19,House vs. God,2,19,https://clinic_duty.livejournal.com/10749.html
2.20,Euphoria (1),2,20,https://clinic_duty.livejournal.com/10985.html
2.21,Euphoria (2),2,21,https://clinic_duty.livejournal.com/11244.html
2.22,Forever,2,22,https://clinic_duty.livejournal.com/11470.html
2.23,Who's Your Daddy?,2,23,https://clinic_duty.livejournal.com/11594.html
2.24,No Reason,2,24,https://clinic_duty.livejournal.com/12008.html
3.01,Meaning,3,1,https://clinic_duty.livejournal.com/13100.html
3.02,Cane & Able,3,2,https://clinic_duty.livejournal.com/13358.html
3.03,Informed Consent,3,3,https://clinic_duty.livejournal.com/13589.html
3.04,Lines in the Sand,3,4,https://clinic_duty.livejournal.com/13918.html
3.05,Fools for Love,3,5,https://clinic_duty.livejournal.com/14608.html
3.06,Que Será Será,3,6,https://clinic_duty.livejournal.com/14906.html
3.07,Son of a Coma Guy,3,7,https://clinic_duty.livejournal.com/15170.html
3.08,Whac-A-Mole,3,8,https://clinic_duty.livejournal.com/15394.html
3.09,Finding Judas,3,9,https://clinic_duty.livejournal.com/15640.html
3.10,Merry Little Christmas,3,10,https://clinic_duty.livejournal.com/16413.html
3.11,Words and Deeds,3,11,https://clinic_duty.livejournal.com/16705.html
3.12,"One Day, One Room",3,12,https://clinic_duty.livejournal.com/17124.html
3.13,Needle in a Haystack,3,13,https://clinic_duty.livejournal.com/17180.html
3.14,Insensitive,3,14,https://clinic_duty.livejournal.com/17614.html
3.15,Half-Wit,3,15,https://clinic_duty.livejournal.com/18072.html
3.16,Top Secret,3,16,https://clinic_duty.livejournal.com/18302.html
3.17,Fetal Position,3,17,https://clinic_duty.livejournal.com/18471.html
3.18,Airborne,3,18,https://clinic_duty.livejournal.com/18807.html
3.19,Act Your Age,3,19,https://clinic_duty.livejournal.com/19063.html
3.20,House Training,3,20,https://clinic_duty.livejournal.com/19335.html
3.21,Family,3,21,https://clinic_duty.livejournal.com/19667.html
3.22,Resignation,3,22,https://clinic_duty.livejournal.com/20065.html
3.23,The Jerk,3,23,https://clinic_duty.livejournal.com/20464.html
3.24,Human Error,3,24,https://clinic_duty.livejournal.com/20679.html
4.01,Alone,4,1,https://clinic_duty.livejournal.com/21422.html
4.02,The Right Stuff,4,2,https://clinic_duty.livejournal.com/21553.html
4.03,97 Seconds,4,3,https://clinic_duty.livejournal.com/22001.html
4.04,Guardian Angels,4,4,https://clinic_duty.livejournal.com/22019.html
4.05,"Mirror, Mirror",4,5,https://clinic_duty.livejournal.com/22351.html
4.06,Whatever It Takes,4,6,https://clinic_duty.livejournal.com/22579.html
4.07,Ugly,4,7,https://clinic_duty.livejournal.com/22887.html
4.08,You Don't Want to Know,4,8,https://clinic_duty.livejournal.com/23203.html
4.09,Games,4,9,https://clinic_duty.livejournal.com/23524.html
4.10,It's a Wonderful Lie,4,10,https://clinic_duty.livejournal.com/23762.html
4.11,Frozen,4,11,https://clinic_duty.livejournal.com/24047.html
4.12,Don't Ever Change,4,12,https://clinic_duty.livejournal.com/24136.html
4.13,No More Mr. Nice Guy,4,13,https://clinic_duty.livejournal.com/24688.html#cutid1
4.14,Living the Dream,4,14,https://clinic_duty.livejournal.com/24882.html#cutid1
4.15,House’s Head,4,15,https://clinic_duty.livejournal.com/25339.html#cutid1
4.16,Wilson’s Heart,4,16,https://clinic_duty.livejournal.com/25392.html#cutid1
5.01,Dying Changes Everything,5,1,https://clinic_duty.livejournal.com/25681.html#cutid1
5.02,Not Cancer,5,2,https://clinic_duty.livejournal.com/26071.html#cutid1
5.03,Adverse Events,5,3,https://clinic_duty.livejournal.com/26361.html#cutid1
5.04,Birthmarks,5,4,https://clinic_duty.livejournal.com/26501.html#cutid1
5.05,Lucky Thirteen,5,5,https://clinic_duty.livejournal.com/26640.html#cutid1
5.06,Joy,5,6,https://clinic_duty.livejournal.com/26966.html#cutid1
5.07,The Itch,5,7,https://clinic_duty.livejournal.com/27219.html#cutid1
5.08,Emancipation,5,8,https://clinic_duty.livejournal.com/28068.html#cutid1
5.09,Last Resort,5,9,https://clinic_duty.livejournal.com/28372.html#cutid1
5.10,Let Them Eat Cake,5,10,https://clinic_duty.livejournal.com/28423.html#cutid1
5.11,Joy to the World,5,11,https://clinic_duty.livejournal.com/28897.html#cutid1
5.12,Painless,5,12,https://clinic_duty.livejournal.com/28985.html#cutid1
5.13,Big Baby,5,13,https://clinic_duty.livejournal.com/29279.html#cutid1
5.14,The Greater Good,5,14,https://clinic_duty.livejournal.com/29549.html#cutid1
5.15,Unfaithful,5,15,https://clinic_duty.livejournal.com/29802.html#cutid1
5.16,The Softer Side,5,16,https://clinic_duty.livejournal.com/30093.html#cutid1
5.17,The Social Contract,5,17,https://clinic_duty.livejournal.com/30447.html#cutid1
5.18,Here Kitty,5,18,https://clinic_duty.livejournal.com/30524.html#cutid1
5.19,Locked In,5,19,https://clinic_duty.livejournal.com/30740.html#cutid1
5.20,Simple Explanation,5,20,https://clinic_duty.livejournal.com/31125.html#cutid1
5.21,Saviors,5,21,https://clinic_duty.livejournal.com/31396.html#cutid1
5.22,House Divided,5,22,https://clinic_duty.livejournal.com/31515.html#cutid1
5.23,Under My Skin,5,23,https://clinic_duty.livejournal.com/31832.html#cutid1
5.24,Both Sides Now,5,24,https://clinic_duty.livejournal.com/32000.html#cutid1
6.01,"Broken, Part One",6,1,https://clinic_duty.livejournal.com/32773.html#cutid1
6.02,"Broken, Part Two",6,2,https://clinic_duty.livejournal.com/33247.html#cutid1
6.03,Epic Fail,6,3,https://clinic_duty.livejournal.com/33428.html#cutid1
6.04,The Tyrant,6,4,https://clinic_duty.livejournal.com/33709.html#cutid1
6.05,Instant Karma,6,5,https://clinic_duty.livejournal.com/33806.html#cutid1
6.06,Brave Heart,6,6,https://clinic_duty.livejournal.com/34126.html#cutid1
6.07,Known Unknowns,6,7,https://clinic_duty.livejournal.com/34555.html#cutid1
6.08,Teamwork,6,8,https://clinic_duty.livejournal.com/34621.html#cutid1
6.09,Ignorance is Bliss,6,9,https://clinic_duty.livejournal.com/34995.html#cutid1
6.10,Wilson,6,10,https://clinic_duty.livejournal.com/35118.html#cutid1
6.11,The Down Low,6,11,https://clinic_duty.livejournal.com/35455.html#cutid1
6.12,Remorse,6,12,https://clinic_duty.livejournal.com/35639.html#cutid1
6.13,Moving the Chains,6,13,https://clinic_duty.livejournal.com/35857.html#cutid1
6.14,5 to 9,6,14,https://clinic_duty.livejournal.com/36140.html#cutid1
6.15,Private Lives,6,15,https://clinic_duty.livejournal.com/36466.html#cutid1
6.16,Black Hole,6,16,https://clinic_duty.livejournal.com/36827.html#cutid1
6.17,Lockdown,6,17,https://clinic_duty.livejournal.com/36995.html#cutid1
6.18,Knight Fall,6,18,https://clinic_duty.livejournal.com/37341.html#cutid1
6.19,Open and Shut,6,19,https://clinic_duty.livejournal.com/37385.html#cutid1
6.20,The Choice,6,20,https://clinic_duty.livejournal.com/37661.html#cutid1
6.21,Baggage,6,21,https://clinic_duty.livejournal.com/37900.html#cutid1
6.22,Help Me,6,22,https://clinic_duty.livejournal.com/38227.html
7.01,Now What?,7,1,https://clinic_duty.livejournal.com/38718.html#cutid1
7.02,Selfish,7,2,https://clinic_duty.livejournal.com/38963.html
7.03,Unwritten,7,3,https://clinic_duty.livejournal.com/39260.html
7.04,Massage Therapy,7,4,https://clinic_duty.livejournal.com/39542.html#cutid1
7.05,Unplanned Parenthood,7,5,https://clinic_duty.livejournal.com/39711.html
7.06,Office Politics,7,6,https://clinic_duty.livejournal.com/40279.html#cutid1
7.07,A Pox on Our House,7,7,https://clinic_duty.livejournal.com/40184.html#cutid1
7.08,Small Sacrifices,7,8,https://clinic_duty.livejournal.com/40615.html#cutid1
7.09,Larger Than Life,7,9,https://clinic_duty.livejournal.com/40921.html#cutid1
7.10,Carrot or Stick,7,10,https://clinic_duty.livejournal.com/41106.html#cutid1
7.11,Family Practice,7,11,https://clinic_duty.livejournal.com/41432.html#cutid1
7.12,You Must Remember This,7,12,https://clinic_duty.livejournal.com/41701.html#cutid1
7.13,Two Stories,7,13,https://clinic_duty.livejournal.com/41733.html#cutid1
7.14,Recession Proof,7,14,https://clinic_duty.livejournal.com/42179.html#cutid1
7.15,Bombshells,7,15,https://clinic_duty.livejournal.com/42358.html#cutid1
7.16,Out of the Chute,7,16,https://clinic_duty.livejournal.com/42744.html#cutid1
7.17,Fall from Grace,7,17,https://clinic_duty.livejournal.com/42944.html#cutid1
7.18,The Dig,7,18,https://clinic_duty.livejournal.com/43205.html#cutid1
7.19,Last Temptation,7,19,https://clinic_duty.livejournal.com/43465.html#cutid1
7.20,Changes,7,20,https://clinic_duty.livejournal.com/43568.html#cutid1
7.21,The Fix,7,21,https://clinic_duty.livejournal.com/43862.html#cutid1
7.22,After Hours,7,22,https://clinic_duty.livejournal.com/44164.html#cutid1
7.23,Moving On,7,23,https://clinic_duty.livejournal.com/44404.html#cutid1
8.01,Twenty Vicodin,8,1,https://clinic_duty.livejournal.com/44960.html#cutid1
8.02,Transplant,8,2,https://clinic_duty.livejournal.com/45266.html#cutid1
8.03,Charity Case,8,3,https://clinic_duty.livejournal.com/45501.html#cutid1
8.04,Risky Business,8,4,https://clinic_duty.livejournal.com/45726.html#cutid1
8.05,The Confession,8,5,https://clinic_duty.livejournal.com/45959.html#cutid1
8.06,Parents,8,6,https://clinic_duty.livejournal.com/46265.html#cutid1
8.07,Dead & Burried,8,7,https://clinic_duty.livejournal.com/46539.html#cutid1
8.08,Perils of Paranoia,8,8,https://clinic_duty.livejournal.com/46616.html#cutid1
8.09,Better Half,8,9,https://clinic_duty.livejournal.com/47531.html#cutid1
8.10,Runaways,8,10,https://clinic_duty.livejournal.com/47710.html#cutid1
8.11,Nobody’s Fault,8,11,https://clinic_duty.livejournal.com/47916.html#cutid1
8.12,Chase,8,12,https://clinic_duty.livejournal.com/48334.html#cutid1
8.13,Man of the House,8,13,https://clinic_duty.livejournal.com/48630.html#cutid1
8.14,Love is Blind,8,14,https://clinic_duty.livejournal.com/48671.html#cutid1
8.15,Blowing the Whistle,8,15,https://clinic_duty.livejournal.com/48930.html#cutid1
8.16,Gut Check,8,16,https://clinic_duty.livejournal.com/49325.html#cutid1
8.17,We Need the Eggs,8,17,https://clinic_duty.livejournal.com/49573.html#cutid1
8.18,Body and Soul,8,18,https://clinic_duty.livejournal.com/49746.html#cutid1
8.19,The C-Word,8,19,https://clinic_duty.livejournal.com/49991.html#cutid1
8.20,Post Mortem,8,20,https://clinic_duty.livejournal.com/50246.html#cutid1
8.21,Holding On,8,21,https://clinic_duty.livejournal.com/50606.html#cutid1
8.22,Everybody Dies,8,22,https://clinic_duty.livejournal.com/50943.html#cutid1
